customer_unique_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_code,segment,action_priority
7a40da3af7a607c7275b9b8f71d730c7,173,2,338.59,4,4,4,04/04/2004,Champions,1
ae4395be33e633d0c87010d59847e5ed,152,2,337.88,4,4,4,04/04/2004,Champions,1
1741b0bef7ccbc530ba7287000d5f49f,179,2,337.59,4,4,4,04/04/2004,Champions,1
674e552503d21cd547fdd0de0bfb9be2,144,2,336.33,4,4,4,04/04/2004,Champions,1
f58595c5ecdf5e9781678b83ba2e0c21,93,2,335.97,5,4,4,05/04/2004,Champions,1
45cfc55a4d5073c50be858369454fc0e,179,2,334.34,4,4,4,04/04/2004,Champions,1
90e1f0d98aa33c74e43fb62004a829dd,195,2,333.04,4,4,4,04/04/2004,Champions,1
c694ffd0ff6d172ecf34fcd4202c8693,58,2,332.87,5,4,4,05/04/2004,Champions,1
ae44510fbe1ff7826298182f9f21aee9,210,2,332.76,4,4,4,04/04/2004,Champions,1
abc9e5b32caf6ec0c8fa356117b66d66,75,2,332.34,5,4,4,05/04/2004,Champions,1
66e56177b9bf464a930e57edc3694403,145,3,331.11,4,5,4,04/05/2004,Champions,1
20ae758fb6688386d9d1540f63d380e0,125,2,329.83,5,4,4,05/04/2004,Champions,1
acc4424c209233de519e034152f30304,165,2,329.48,4,4,4,04/04/2004,Champions,1
81098a634d4eab46ab9fbd0df37e52bd,60,2,329.39,5,4,4,05/04/2004,Champions,1
8b433c0e7b7d2a1f1148b4277cc673f8,186,2,329.32,4,4,4,04/04/2004,Champions,1
99e2f46c9fe0bba48bd131ddac456549,92,2,329.26,5,4,4,05/04/2004,Champions,1
3c166bd80203dfb723ba32f64bedd87b,162,2,328.4,4,4,4,04/04/2004,Champions,1
dc48b0a1b0e6abb6586f322c189f6b93,58,3,327.39,5,5,4,05/05/2004,Champions,1
be33ce67f6c02b468b94afa895a955fe,156,2,326.42,4,4,4,04/04/2004,Champions,1
628bdd93abd27fbdd50f4e2e91ec64b3,125,2,325.05,5,4,4,05/04/2004,Champions,1
69f7e342c28eb22ef6845facd926e810,115,2,324.72,5,4,4,05/04/2004,Champions,1
